Date,Customer,Sales Person,Customer_Age,Customer_Gender,State,Product_Category,Sub_Category,Payment Option,Quantity,Unit_Cost,Unit_Price
15-Nov-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,56,65
15-Nov-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,108.67,123.67
15-Nov-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,14.67,15
15-Dec-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,2,280,269
16-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,293.5,320.5
16-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,2,2
16-Dec-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,1,420,472
20-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,275.5,303
20-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,1,120,120
20-Dec-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,1,630,624
25-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,2,32.5,36
25-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,338.33,389.33
25-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,10.67,11
29-Dec-15,High,Segun,29,F,Abia,Accessories,Keyboard,Online,3,36.67,41.67
29-Dec-15,High,Segun,29,F,Abia,Accessories,Wrist Watch,Online,2,245,249.5
22-Jul-15,High,Segun,29,F,Lagos,Accessories,Laptop Charger,Online,1,636,677
10-Oct-15,High,Segun,18,F,Lagos,Accessories,Laptop Charger,Online,3,159,170.67
11-Jun-16,High,Segun,18,M,Lagos,Phones,IPhone,Online,1,769,875
13-Aug-15,High,Segun,18,M,Lagos,Phones,IPhone,Online,1,2295,2242
10-Sep-15,High,Segun,18,M,Lagos,Phones,IPhone,Online,1,769,776
20-Oct-15,High,Segun,18,M,Lagos,Phones,IPhone,Online,2,1160,1005
21-Dec-15,High,Segun,18,M,Lagos,Phones,IPhone,Online,1,2295,2303
27-Jul-15,High,Segun,18,F,Adamawa,Accessories,Mouse,Online,2,797.5,813
07-Feb-16,High,Segun,19,M,Abia,Phones,IPhone,Online,3,180,188.33
24-Jul-15,High,Segun,19,M,Abia,Phones,IPhone,Online,1,2320,2160
20-Mar-16,High,Segun,19,M,Lagos,Clothing,Jerseys,Online,3,100,117.67
21-Mar-16,High,Segun,19,M,Lagos,Clothing,Jerseys,Online,1,750,985
06-May-16,High,Segun,19,M,Lagos,Clothing,Jerseys,Online,3,133.33,164.33
06-Jun-16,High,Segun,19,M,Lagos,Accessories,Screen Guard,Online,3,88,95.33
09-Jun-16,High,Segun,19,M,Lagos,Clothing,Jerseys,Online,2,300,384
20-Aug-15,High,Segun,19,M,Lagos,Clothing,Jerseys,Online,3,133.33,161
21-Aug-15,High,Segun,19,M,Lagos,Clothing,Jerseys,Online,2,594,569.5
27-Sep-15,High,Segun,19,M,Lagos,Clothing,Jerseys,Online,2,75,79.5
27-Jan-16,High,Segun,19,M,Lagos,Accessories,Memory Card,Online,2,99.5,126
25-Jan-16,High,Segun,19,F,Lagos,Accessories,Wrist Watch,Online,3,46.67,51.67
26-Jan-16,High,Segun,19,F,Lagos,Accessories,Wrist Watch,Online,1,175,218
20-May-16,High,Segun,19,F,Lagos,Accessories,Wrist Watch,Online,2,52.5,60
26-Jul-15,High,Segun,19,F,Lagos,Accessories,Wrist Watch,Online,2,122.5,139.5
06-Dec-15,High,Segun,19,F,Lagos,Accessories,Wrist Watch,Online,1,420,458
24-Jun-16,High,Segun,19,M,Abia,Clothing,Socks,Online,3,45,52.67
05-Oct-15,High,Segun,20,M,Abia,Clothing,Socks,Online,2,27,30.5
18-Jul-15,High,Segun,20,M,Lagos,Phones,IPhone,Online,1,2295,2146
25-Jul-15,High,Segun,20,M,Lagos,Phones,IPhone,Online,1,2320,2030
04-Dec-15,High,Segun,20,M,Lagos,Phones,IPhone,Online,1,2295,1884
16-Jul-15,High,Segun,20,F,Abia,Clothing,Tshirts,Online,1,216,228
14-Aug-15,High,Segun,22,F,Lagos,Accessories,Laptop Charger,Online,3,530,529.33
28-Dec-15,High,Segun,24,F,Lagos,Accessories,Laptop Charger,Online,1,1113,1297
26-Mar-16,High,Segun,24,M,Adamawa,Phones,IPhone,Online,1,769,873
24-May-16,High,Segun,40,M,Adamawa,Phones,Infinix,Online,3,247.33,250.33
08-Jul-15,High,Segun,40,M,Adamawa,Phones,IPhone,Online,1,2320,2340
13-Jul-15,High,Segun,40,M,Adamawa,Phones,IPhone,Online,2,384.5,353.5
08-Aug-15,High,Segun,40,M,Adamawa,Phones,IPhone,Online,1,2320,2340
25-Dec-15,High,Segun,40,M,Adamawa,Phones,IPhone,Online,1,2320,2095
29-Aug-15,High,Segun,40,F,Lagos,Accessories,Laptop Charger,Online,2,477,524.5
16-Jan-16,High,Segun,40,M,Lagos,Accessories,Mouse,Online,3,165,186.33
20-Feb-16,High,Segun,40,M,Lagos,Accessories,Mouse,Online,3,256.67,334.33
31-Jul-15,High,Segun,40,M,Lagos,Accessories,Mouse,Online,1,715,752
13-Feb-16,High,Segun,40,F,Abia,Accessories,Ear Piece,Online,1,120,156
07-Jul-16,High,Segun,22,F,Abia,Accessories,Ear Piece,Online,1,85,108
08-Jul-16,High,Segun,22,F,Abia,Accessories,Ear Piece,Online,2,105,136
16-Jul-15,High,Segun,22,F,Abia,Accessories,Ear Piece,Online,1,65,67
16-Jul-15,High,Segun,22,F,Abia,Accessories,Ear Piece,Online,2,125,143.5
16-Jul-15,High,Segun,22,F,Abia,Clothing,Jerseys,Online,3,414,437.67
04-Sep-15,High,Segun,22,F,Abia,Clothing,Jerseys,Online,2,486,535.5
06-Sep-15,High,Segun,22,F,Abia,Accessories,Ear Piece,Online,2,25,26.5
22-Oct-15,High,Segun,22,F,Abia,Accessories,Ear Piece,Online,1,189,179
22-Oct-15,High,Segun,22,F,Abia,Accessories,Ear Piece,Online,3,6.67,7
21-Dec-15,High,Segun,22,F,Abia,Clothing,Jerseys,Online,1,150,159
13-Jul-15,High,Segun,22,M,Abia,Phones,IPhone,Online,2,1147.5,1077
16-Jul-15,High,Segun,22,M,Abia,Phones,IPhone,Online,3,765,712.33
13-Feb-16,High,Segun,22,F,Lagos,Accessories,Keyboard,Online,1,96,105
22-Mar-16,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,1,100,113
03-May-16,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,2,24,28
20-May-16,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,2,30,35.5
28-Jun-16,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,1,50,54
03-Jul-16,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,2,70,92.5
03-Jul-16,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,1,40,48
08-Aug-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,3,290,341
08-Aug-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,3,1.67,2
08-Aug-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,3,0.67,0.67
27-Oct-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,3,83.33,86.33
27-Oct-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,1,27,29
31-Oct-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,3,163.33,173.33
31-Oct-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,2,42.5,47
31-Oct-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,2,18.5,20.5
02-Dec-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,3,5,5.67
02-Dec-15,High,Segun,19,F,Lagos,Accessories,Keyboard,Online,1,1050,1111
10-Jan-16,High,Segun,19,F,Lagos,Accessories,Wrist Watch,Online,3,23.33,29.33
13-Jan-16,High,Segun,20,F,Lagos,Accessories,Wrist Watch,Online,1,105,131
27-Feb-16,High,Segun,20,F,Lagos,Accessories,Wrist Watch,Online,3,11.67,13.33
16-Aug-15,High,Segun,20,F,Lagos,Accessories,Wrist Watch,Online,1,910,928
17-Nov-15,High,Segun,20,F,Lagos,Accessories,Wrist Watch,Online,3,35,37.67
29-Jul-15,High,Segun,20,M,Abia,Phones,IPhone,Online,2,1147.5,1106.5
29-Jul-15,High,Segun,18,M,Abia,Accessories,Mouse,Online,1,440,509
29-Jul-15,High,Segun,18,M,Adamawa,Phones,IPhone,Online,1,2295,2115
29-Jul-15,High,Segun,18,F,Adamawa,Accessories,Ear Piece,Online,1,230,250
29-Jul-15,High,Segun,18,F,Adamawa,Accessories,Ear Piece,Online,3,5,5
13-Jul-15,High,Segun,18,M,Abia,Phones,IPhone,Online,1,2295,2218
30-Sep-15,High,Segun,21,F,Abia,Clothing,Vests,Online,1,64,61
14-Jul-15,High,Segun,21,M,Adamawa,Phones,IPhone,Online,1,2320,2155
08-Oct-15,High,Segun,21,M,Adamawa,Phones,IPhone,Online,3,256.33,256.33
12-Jul-15,High,Segun,21,M,Lagos,Accessories,Mouse,Online,1,825,959
01-Aug-15,High,Segun,21,M,Lagos,Accessories,Mouse,Online,3,128.33,141.67
21-Oct-15,High,Segun,21,M,Lagos,Accessories,Mouse,Online,3,238.33,268
17-Dec-15,High,Segun,21,M,Lagos,Accessories,Mouse,Online,2,302.5,337.5
04-Apr-16,High,Segun,21,M,Lagos,Phones,IPhone,Online,1,769,815
02-Apr-15,High,Segun,23,M,Lagos,Phones,IPhone,Online,3,683,602.67
22-Aug-15,High,Segun,23,M,Lagos,Phones,IPhone,Online,1,2295,2297
25-Aug-15,High,Segun,23,M,Lagos,Phones,IPhone,Online,3,773.33,682
13-May-16,High,Segun,23,F,Lagos,Clothing,Vests,Online,1,191,237
09-Oct-15,High,Segun,24,F,Lagos,Clothing,Vests,Online,2,32,29
26-Nov-15,High,Segun,24,F,Lagos,Clothing,Vests,Online,3,508,575
16-Apr-16,High,Segun,24,F,Abia,Clothing,Socks,Online,1,207,265
27-Mar-16,High,Segun,25,M,Lagos,Accessories,Mouse,Online,1,330,413
20-Jul-15,High,Segun,30,M,Lagos,Accessories,Mouse,Online,2,82.5,88.5
05-Nov-15,High,Segun,30,M,Lagos,Accessories,Mouse,Online,2,55,63.5
28-Mar-16,High,Segun,30,F,Lagos,Clothing,Polo shirts,Online,2,343,359
05-Jan-16,High,Segun,55,F,Abia,Accessories,Keyboard,Online,1,210,271
07-Feb-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,2,35,45.5
07-Feb-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,2,20,23.5
01-Mar-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,3,20,22
01-Mar-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,2,385,495.5
01-Mar-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,3,5.33,7.67
08-Jul-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,2,58,65
08-Jul-16,High,Segun,53,F,Abia,Accessories,Wrist Watch,Online,2,455,578
20-Jul-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,2,30,36
20-Jul-16,High,Segun,53,F,Abia,Accessories,Keyboard,Online,3,12.33,15.67
13-Sep-15,High,Segun,53,F,Abia,Accessories,Keyboard,Online,1,420,442
05-Oct-15,High,Segun,53,F,Abia,Accessories,Keyboard,Online,1,52,59
11-Feb-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,35,42.33
11-Feb-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,35,42
11-Apr-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,2,18,24
11-Apr-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,2,32,41
18-Apr-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,2,40,47.5
18-Apr-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,290,340
20-Apr-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,20,28
26-Apr-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,2,8,9
04-May-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,2,42.5,53.5
04-May-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,175,208
29-May-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,315,390
10-Jul-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,455,480
10-Jul-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,5.33,7
24-Jul-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,2,6,8
24-Jul-16,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,2,3
01-Nov-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,32,35
01-Nov-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,21.33,24
15-Dec-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,338.33,373.67
15-Dec-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,2,37.5,36
15-Dec-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,270,268
15-Dec-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,36.67,37.67
15-Dec-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,1,69,85
19-Dec-15,High,Segun,53,F,Lagos,Accessories,Keyboard,Online,3,64.33,72
05-Oct-15,High,Segun,53,F,Abia,Clothing,Vests,Online,1,191,213
26-Jan-16,High,Segun,53,M,Abia,Phones,IPhone,Online,2,1160,1225
07-Apr-16,High,Segun,53,M,Abia,Phones,Samsung,Online,2,850.5,932.5
09-Aug-15,High,Segun,53,M,Abia,Phones,IPhone,Online,3,765,703.67
09-Aug-15,High,Segun,53,M,Abia,Clothing,Socks,Online,1,153,144
10-Nov-15,High,Segun,53,M,Abia,Phones,IPhone,Online,3,765,744.33
29-Nov-15,High,Segun,53,M,Abia,Phones,IPhone,Online,3,773.33,773.33
05-Jan-16,High,Segun,53,M,Lagos,Phones,Infinix,Online,3,247.33,263.67
08-Jan-16,High,Segun,52,M,Lagos,Phones,Infinix,Online,2,371,382.5
03-May-16,High,Segun,52,M,Lagos,Phones,IPhone,Online,1,769,735
03-May-16,High,Segun,52,M,Lagos,Phones,IPhone,Online,1,769,777
03-May-16,High,Segun,52,F,Lagos,Clothing,Tshirts,Online,1,144,166
09-May-16,High,Segun,52,M,Lagos,Phones,Infinix,Online,1,742,774
09-May-16,High,Segun,52,F,Lagos,Clothing,Tshirts,Online,2,4.5,5.5
14-Jul-15,High,Segun,52,M,Lagos,Phones,IPhone,Online,3,773.33,771.33
06-Sep-15,High,Segun,52,F,Lagos,Clothing,Tshirts,Online,2,58.5,62
13-Oct-15,High,Segun,52,M,Lagos,Phones,IPhone,Online,2,1147.5,1169.5
10-Jun-16,High,Segun,52,F,Lagos,Clothing,Polo shirts,Online,3,220.33,269.67
24-Apr-16,High,Segun,52,F,Abia,Clothing,Polo shirts,Online,3,106,125.33
27-Mar-16,High,Segun,51,M,Adamawa,Accessories,Phone Charger,Online,3,360,444.33
21-Jan-16,High,Segun,51,F,Abia,Accessories,Laptop Charger,Online,3,318,411.67
02-Jan-16,High,Segun,51,F,Lagos,Accessories,Screen Guard,Online,1,286,380
31-Jan-16,High,Segun,50,M,Lagos,Accessories,Mouse,Online,3,495,617.33
01-Mar-16,High,Segun,49,M,Lagos,Accessories,Mouse,Online,2,605,756
05-Sep-15,High,Segun,49,M,Lagos,Accessories,Mouse,Online,3,165,197.67
06-Mar-16,High,Segun,49,F,Abia,Accessories,Wrist Watch,Online,3,268.33,316
12-Mar-16,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,3,46.67,49.67
07-Apr-16,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,2,210,252
18-Apr-16,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,1,420,456
14-May-16,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,1,350,432
13-Jun-16,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,3,268.33,334.67
03-Jul-16,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,1,1050,1302
13-Aug-15,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,3,35,38
27-Aug-15,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,1,315,345
18-Sep-15,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,3,186.67,207
08-Nov-15,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,3,35,36
02-Dec-15,High,Segun,48,F,Abia,Accessories,Wrist Watch,Online,3,210,241
09-Aug-15,High,Segun,48,F,Adamawa,Accessories,Keyboard,Online,2,385,393.5
09-Aug-15,High,Segun,47,F,Adamawa,Accessories,Keyboard,Online,2,52.5,56.5
18-Aug-15,High,Segun,47,M,Adamawa,Accessories,Mouse,Online,3,513.33,554
01-May-16,High,Segun,47,M,Adamawa,Accessories,Keyboard,Online,2,70,85.5
01-May-16,High,Segun,47,M,Adamawa,Accessories,Keyboard,Online,1,14,16
27-Jul-16,High,Segun,47,M,Adamawa,Accessories,Keyboard,Online,2,20.5,23.5
19-Jul-15,High,Segun,47,M,Adamawa,Accessories,Keyboard,Online,3,183.33,209
19-Jul-15,High,Segun,47,M,Adamawa,Accessories,Keyboard,Online,2,4.5,5.5
15-Jun-16,High,Segun,47,M,Lagos,Accessories,Memory Card,Online,1,111,129
29-Mar-16,High,Segun,47,F,Abia,Accessories,Wrist Watch,Online,1,105,129
10-Apr-16,High,Segun,46,F,Abia,Phones,Samsung,Online,3,180,202
05-Jun-16,High,Segun,46,M,Abia,Phones,Infinix,Online,1,742,677
05-Jun-16,High,Segun,46,F,Abia,Accessories,Wrist Watch,Online,2,52.5,67.5
13-Jan-15,High,Segun,46,M,Abia,Phones,IPhone,Online,3,683,623
15-Jan-15,High,Segun,46,M,Abia,Phones,IPhone,Online,2,1035.5,973.5
31-Jul-15,High,Segun,46,M,Abia,Phones,IPhone,Online,1,2295,2239
31-Jul-15,High,Segun,46,F,Abia,Accessories,Wrist Watch,Online,2,262.5,260
05-Dec-15,High,Segun,46,M,Abia,Phones,Infinix,Online,1,742,658
09-Mar-16,High,Segun,46,F,Abia,Accessories,Screen Guard,Online,1,637,856
15-Jan-16,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,2,15,18.5
15-Jan-16,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,1,100,138
29-Jan-16,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,2,35,40
29-Jan-16,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,1,60,73
02-Apr-16,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,1,425,508
02-Apr-16,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,1,44,54
25-Aug-15,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,3,12.33,12
03-Sep-15,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,2,255,297.5
03-Sep-15,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,3,48.33,49
02-Oct-15,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,1,385,414
07-Dec-15,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,3,198.33,217
07-Dec-15,High,Segun,46,F,Adamawa,Accessories,Keyboard,Online,2,67.5,78.5
13-Jan-16,High,Segun,46,M,Lagos,Accessories,Screen Guard,Online,1,659,790
12-Feb-16,High,Segun,46,M,Lagos,Accessories,Screen Guard,Online,1,440,510
17-Jan-16,High,Segun,46,M,Lagos,Accessories,Memory Card,Online,1,207,275
09-Jan-16,High,Segun,46,M,Lagos,Clothing,Polo shirts,Online,2,73.5,82
17-Jan-16,High,Segun,45,M,Lagos,Clothing,Polo shirts,Online,3,196,279
18-Jan-16,High,Segun,45,M,Lagos,Accessories,Wrist Watch,Online,3,175,216
26-Jan-16,High,Segun,45,M,Lagos,Accessories,Wrist Watch,Online,3,303.33,380.33
04-Feb-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,1,163,203
04-Feb-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,14,16.5
19-Mar-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,1,125,174
19-Mar-16,High,Segun,45,M,Lagos,Clothing,Polo shirts,Online,3,8,10.67
23-Mar-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,43.5,50.5
23-Mar-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,67.5,81.5
13-Apr-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,25,31
13-Apr-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,7.67,8.33
14-Apr-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,106.33,132.33
18-Apr-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,1,717,892
18-Apr-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,5.33,6.67
21-Apr-16,High,Segun,45,M,Lagos,Clothing,Tshirts,Online,3,63,78.33
26-Apr-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,1,225,275
26-Apr-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,37.5,42
08-May-16,High,Segun,45,M,Lagos,Accessories,Wrist Watch,Online,3,46.67,63.33
01-Jun-16,High,Segun,45,M,Lagos,Clothing,Tshirts,Online,2,40.5,47
11-Jun-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,9.33,11
11-Jun-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,76,107
11-Jun-16,High,Segun,45,M,Lagos,Clothing,Polo shirts,Online,3,179.67,214.33
22-Jun-16,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,20,24
22-Jun-16,High,Segun,45,M,Lagos,Accessories,Wrist Watch,Online,2,350,384.5
17-Jul-16,High,Segun,45,M,Lagos,Clothing,Tshirts,Online,1,135,163
12-Aug-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,46.67,56.33
12-Aug-15,High,Segun,45,M,Lagos,Accessories,Wrist Watch,Online,1,700,712
12-Aug-15,High,Segun,45,M,Lagos,Clothing,Tshirts,Online,1,171,190
11-Sep-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,1,300,317
27-Oct-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,251.33,302.33
27-Oct-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,12.5,13.5
30-Oct-15,High,Segun,45,M,Lagos,Accessories,Wrist Watch,Online,2,507.5,508
24-Nov-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,312.5,341
24-Nov-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,67.5,79
24-Nov-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,2,32,36
07-Dec-15,High,Segun,45,M,Lagos,Clothing,Tshirts,Online,1,216,245
10-Dec-15,High,Segun,45,M,Lagos,Accessories,Keyboard,Online,3,8,8
26-Dec-15,High,Segun,45,M,Lagos,Clothing,Tshirts,Online,3,90,85.33
20-Feb-16,High,Segun,45,M,Enugu,Phones,Infinix,Online,2,1192,1396
20-Feb-16,High,Segun,40,F,Enugu,Accessories,Keyboard,Online,2,246.5,314.5
20-Feb-16,High,Segun,40,F,Enugu,Accessories,Keyboard,Online,2,20,26
20-Feb-16,High,Segun,40,F,Enugu,Accessories,Keyboard,Online,3,6,6.67
20-Feb-16,High,Segun,40,F,Enugu,Accessories,Laptop Charger,Online,3,318,321.67
20-Feb-16,High,Segun,40,F,Enugu,Clothing,Tshirts,Online,1,153,155
01-May-16,High,Segun,40,M,Enugu,Phones,Infinix,Online,1,2384,2292
01-May-16,High,Segun,40,F,Enugu,Accessories,Wrist Watch,Online,2,262.5,316.5
01-May-16,High,Segun,40,F,Enugu,Clothing,Tshirts,Online,1,135,172
02-Jul-15,High,Segun,40,F,Enugu,Accessories,Wrist Watch,Online,1,315,353
06-Oct-15,High,Segun,40,F,Enugu,Accessories,Keyboard,Online,1,90,124
06-Oct-15,High,Segun,40,F,Enugu,Accessories,Keyboard,Online,3,233.33,222
06-Oct-15,High,Segun,40,F,Enugu,Accessories,Wrist Watch,Online,2,437.5,342
06-Oct-15,High,Segun,40,F,Enugu,Clothing,Jerseys,Online,3,378,362
13-Nov-15,High,Segun,40,M,Enugu,Phones,Infinix,Online,2,371,301
13-Nov-15,High,Segun,40,F,Enugu,Accessories,Keyboard,Online,2,290,286
13-Nov-15,High,Segun,40,F,Enugu,Accessories,Keyboard,Online,2,37.5,38.5
13-Nov-15,High,Segun,40,F,Enugu,Accessories,Wrist Watch,Online,1,350,275
11-Jan-16,High,Segun,40,M,Edo,Phones,Samsung,Online,3,567,790
